 sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
836,II,51.470,[ 239  779 1149 1618 2052 2616],46.400,168.000,474.000,950.800,191.000
837,II,71.468,[ 142  479  876 1250 1563 1875 2192 2522 2845],76.500,103.250,309.250,675.750,95.556
838,II,63.430,[ 447  805 1167 1546 1933 2326 2720],76.286,154.333,385.000,757.667,127.714
839,II,134.550,"[ 181  357  547  722  907 1083 1259 1435 1617 1792 1975 2150 2327 2504
 2682 2858]",32.667,132.800,228.400,356.933,54.533
840,II,60.398,[ 364  735 1131 1547 1940 2352 2751],66.286,98.333,343.667,795.667,170.571
841,II,83.024,[ 248  541  835 1125 1416 1701 1992 2279 2562 2850],76.200,81.111,176.667,578.222,54.000
842,II,79.438,[ 387  688  990 1294 1598 1896 2185 2498 2805],74.889,108.500,323.250,604.500,144.222
843,II,60.995,[ 177  575  971 1364 1751 2146 2538],100.857,130.800,367.333,787.000,122.667
844,II,78.084,[ 302  606  910 1219 1525 1835 2143 2452 2761],75.556,120.000,326.250,614.750,100.222
845,II,71.778,[ 349  668  986 1316 1660 2007 2347 2692],99.750,134.286,337.714,669.429,96.250
846,II,89.597,[ 284  557  826 1095 1365 1634 1899 2164 2429 2695],76.000,181.556,323.333,535.778,46.200
847,II,64.967,[ 378  739 1126 1515 1882 2225 2598],88.000,133.667,350.000,740.000,108.857
848,II,59.497,[ 427  836 1245 1635 2032 2441 2848],80.000,163.667,376.000,807.000,95.333
849,II,62.988,[ 282  647 1020 1400 1778 2169 2570],66.857,112.667,357.333,762.667,160.857
850,II,68.490,[ 148  505  864 1189 1534 1894 2231 2605],80.571,142.286,363.143,702.000,107.000
851,II,74.942,[ 238  550  869 1189 1511 1820 2143 2471 2801],64.000,112.250,333.500,640.750,125.111
852,II,58.563,[ 151  565  972 1381 1794 2199 2610],91.667,180.000,432.800,819.667,146.000
853,II,66.194,[ 463  815 1171 1535 1889 2257 2640],66.286,122.333,343.667,725.667,153.143
854,II,84.872,[ 183  459  739 1020 1299 1576 1858 2143 2436 2729],90.200,128.889,340.222,565.778,143.400
855,II,64.419,[ 461  907 1348 1783 2221 2649 2855],104.571,203.000,439.000,798.000,79.000
856,II,64.407,[ 174  551  930 1292 1665 2043 2409 2783],76.750,152.000,375.714,745.429,96.500
857,II,72.748,[ 247  589  929 1268 1605 1932 2265 2601 2892],54.444,95.000,149.250,661.250,16.250
858,II,72.581,[ 215  566  899 1238 1567 1887 2200 2525 2863],80.222,82.000,294.250,662.000,109.778
859,II,59.430,[ 477  869 1263 1670 2087 2491 2901],58.857,116.333,236.333,808.000,51.333
860,II,67.018,[ 292  660 1008 1353 1713 2078 2434 2800],75.000,106.571,327.714,716.571,113.250
861,II,69.522,[ 125  469  818 1157 1500 1850 2196 2538 2887],78.750,,,690.500,
862,II,81.348,[ 336  637  928 1230 1518 1821 2110 2402 2697],48.667,137.500,269.250,590.250,29.556
863,II,63.174,[ 458  847 1240 1634 2024 2388 2741],31.714,132.800,317.200,761.000,109.714
864,II,92.804,[ 301  469  683  906 1181 1528 1868 2036 2459 2892],41.000,64.444,161.333,575.778,61.333
865,II,65.411,[ 379  725 1086 1468 1850 2225 2583],69.143,118.667,319.000,734.667,89.143
866,II,72.715,[ 247  568  907 1252 1581 1900 2239 2577 2890],88.667,200.571,285.250,660.750,-23.429
867,II,70.742,[ 365  561 1001 1367 1729 2105 2533],51.714,128.667,269.333,722.667,115.143
868,II,65.763,[ 377  736 1105 1472 1832 2204 2567],46.857,136.667,290.000,730.000,99.143
869,II,66.337,[ 186  555  987 1454 1663 1908 2849],95.333,151.000,356.333,887.667,138.400
870,II,73.719,[ 302  626  955 1292 1609 1943 2258 2582],50.250,127.429,340.857,651.429,96.000
871,II,64.721,[ 191  564  938 1306 1679 2053 2424 2787],82.000,114.857,408.286,741.714,149.000
872,II,73.251,[ 342  677  998 1318 1644 1973 2306 2636],70.750,130.857,336.286,655.429,126.250
873,II,63.006,[ 368  749 1136 1513 1883 2270 2654],42.000,148.000,377.000,762.000,97.143
874,II,48.713,[ 402  894 1400 1897 2379 2866],89.333,159.200,370.800,985.600,68.333
875,II,57.003,[ 268  680 1109 1543 1965 2378 2795],80.286,98.667,373.000,842.333,163.143
876,II,93.751,[ 159  414  669  925 1183 1437 1692 1946 2192 2461 2720],60.000,109.800,325.800,512.200,116.727
877,II,54.462,[ 444  873 1305 1765 2219 2649],70.333,130.000,376.400,882.000,135.000
878,II,81.044,[ 408  710  999 1280 1560 1850 2167 2478 2781],85.111,141.333,284.500,593.250,36.000
879,II,76.496,[ 357  677  997 1301 1609 1924 2275 2564 2873],71.778,113.750,245.500,629.000,58.889
880,II,71.010,[ 180  528 1071 1476 1924 2168 2409 2717],59.429,120.857,226.857,724.857,27.750
881,II,56.209,[ 360  782 1211 1642 2067 2495],82.000,172.500,396.500,854.000,71.600
882,II,73.082,[ 353  681 1012 1345 1675 1997 2324 2652],36.000,104.000,333.714,656.857,127.250
883,II,68.101,[ 181  536  887 1239 1590 1939 2294 2648],47.500,168.286,271.714,704.857,16.500
884,II,58.381,[ 252  531  976 1441 1877 2341 2789],74.286,138.400,380.800,845.667,129.333
885,II,78.153,[ 417  712 1024 1336 1635 1932 2258 2582 2877],72.889,88.000,297.000,615.000,111.000
886,II,82.300,[ 171  462  748 1044 1333 1626 1911 2208 2501 2796],40.000,214.000,426.000,583.333,84.200
887,II,79.403,[ 374  687  999 1309 1613 1907 2194 2488 2794],72.889,96.250,279.250,605.000,129.111
888,II,71.944,[ 477  828 1152 1483 1816 2118 2432 2825],83.750,128.286,363.429,670.857,117.143
889,II,66.625,[ 150  518  887 1249 1614 1979 2330 2673],73.143,96.571,321.714,720.857,125.000
890,II,58.907,[ 207  607 1007 1417 1825 2235 2652],92.000,142.000,392.667,815.000,132.571
891,II,60.545,[ 411  810 1215 1604 1999 2403 2790],62.286,144.000,372.333,793.000,88.000
892,II,96.001,[ 225  473  723  972 1223 1473 1724 1974 2225 2475 2725],79.636,224.667,352.200,500.000,32.000
893,II,85.108,[ 210  495  776 1059 1341 1623 1906 2187 2467 2748],86.400,136.222,338.222,564.000,115.800
894,II,110.770,[ 132  275  492  995 1447 1588 1932 2075 2359 2500 2779],47.000,,,529.400,63.000
895,II,77.340,[ 351  656  960 1274 1572 1872 2211 2545 2839],74.444,98.750,289.750,622.000,97.111
896,II,62.766,[ 298  697 1077 1452 1853 2236 2595],79.429,108.333,330.333,765.667,116.000
897,II,80.306,[ 382  681  976 1273 1574 1871 2169 2470 2773],67.556,179.714,402.571,597.750,146.750
898,II,104.052,[ 150  382  615  848 1081 1312 1543 1773 2003 2231 2459 2688 2918],84.308,151.600,260.800,461.333,67.600
899,II,62.717,[ 311  696 1061 1448 1834 2217 2608],85.714,148.000,350.667,765.667,84.000
900,II,64.383,[ 234  627 1002 1376 1750 2110 2472 2845],36.500,125.714,193.143,746.000,20.000
901,II,113.034,[ 132  259  600  725 1069 1195 1538 2008 2134 2476 2862],75.800,158.800,390.800,546.000,102.000
902,II,77.751,[ 210  424  742 1075 1413 1745 2068 2398 2725],45.111,129.750,364.750,628.750,124.000
903,II,70.984,[ 155  464  768 1156 1511 1874 2214 2546 2874],86.000,114.000,349.250,679.750,137.750
904,II,56.672,[ 191  567  909 1354 1739 2500 2890],82.571,147.000,213.333,899.667,26.000
905,II,100.469,[ 147  324  505  678  920 1284 1648 1950 2127 2380 2749],59.200,131.000,232.000,520.400,41.333
906,II,80.301,[ 171  471  772 1075 1374 1672 1970 2267 2565 2861],53.400,133.556,358.444,597.778,130.000
907,II,74.425,[ 409  781 1004 1520 1890 2267 2496],81.143,195.200,331.200,695.667,44.571
908,II,57.883,[ 290  701 1110 1525 1943 2365 2778],87.143,91.667,305.000,829.333,114.571
909,II,58.371,[ 281  710 1105 1518 1952 2375 2753],76.571,126.333,310.667,824.000,117.429
910,II,62.804,[ 152  521  899 1274 1644 2037 2432 2829],90.286,148.286,281.429,764.857,88.000
911,II,58.947,[ 229  632 1040 1450 1862 2267 2672],75.429,193.333,411.000,814.333,118.286
912,II,77.429,[ 347  654  962 1275 1593 1903 2212 2521 2827],70.444,130.000,311.750,620.000,106.222
913,II,105.093,[ 327  560  790 1009 1240 1466 1699 1924 2157 2388 2618 2840],68.333,115.800,318.000,456.909,109.600
