 sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
0,II,72.412,[ 153  490  824 1154 1485 1819 2154 2485 2805],83.000,134.250,314.250,663.000,71.778
1,II,48.178,[ 357  818 1345 1852 2361 2852],95.667,162.000,414.000,998.000,131.500
2,II,75.278,[ 190  539  894 1213 1542 1867 2160 2442 2753],65.556,87.750,283.000,640.750,100.222
3,II,60.362,[ 352  730 1128 1536 1935 2330 2739],89.143,98.000,326.667,795.667,140.857
4,II,57.845,[ 210  514  986 2344 2581],44.000,,,1185.500,-16.000
5,II,58.262,[ 250  630 1064 1471 1864 2310 2728],104.000,189.333,453.000,826.000,125.143
6,II,77.390,[ 261  556  860 1185 1460 1766 2112 2420 2752],60.667,138.750,245.000,622.750,36.000
7,II,54.090,[ 137  581 1040 1479 1926 2368 2800],43.000,105.600,217.200,887.667,0.667
8,II,47.479,[ 597 1103 1611 2119 2619],87.200,149.000,401.000,1011.000,124.800
9,II,62.284,[ 298  695 1082 1474 1863 2237 2611],95.429,123.667,348.000,771.000,105.143
10,II,71.372,[ 299  622  947 1303 1656 2000 2323 2656],87.000,126.857,327.143,673.429,126.000
11,II,65.547,[ 384  747 1112 1481 1851 2217 2581],70.857,108.000,226.667,732.333,37.143
12,II,63.440,[ 290  670 1044 1422 1802 2177 2560],82.286,157.667,288.667,756.667,64.286
13,II,79.323,[ 212  519  822 1133 1438 1735 2032 2334 2633],101.111,148.500,327.000,605.250,67.556
14,II,82.305,[ 466  859 1247 1641 2033 2420 2550 2803],52.000,164.000,375.000,667.714,116.500
15,II,75.550,[ 171  496  820 1140 1461 1790 2104 2409 2714],76.222,138.750,280.500,635.750,102.889
16,II,63.207,[ 226  605  983 1365 1748 2129 2506 2884],76.750,111.143,392.000,759.429,146.571
17,II,65.139,[ 419  775 1127 1507 1897 2265 2632],58.286,78.000,318.000,737.667,125.714
18,II,54.429,[ 285  750 1209 1651 2076 2493],103.333,160.000,432.400,883.200,121.000
19,II,78.383,[ 254  564  876 1162 1479 1790 2100 2413 2706],77.333,271.200,329.250,613.000,-50.667
20,II,96.179,[ 348  603  857 1110 1364 1616 1864 2110 2356 2599 2844],91.273,139.400,311.800,499.200,55.818
21,II,74.810,[ 284  613  943 1262 1570 1872 2182 2519 2854],71.778,133.250,348.250,642.500,116.000
22,II,60.893,[ 495  893 1291 1686 2082 2471 2860],90.857,143.333,388.333,788.333,100.857
23,II,76.668,[ 132  445  762 1070 1376 1697 2018 2328 2637],70.750,184.000,357.000,626.250,66.000
24,II,63.609,[ 467  848 1225 1597 1975 2357 2731],80.286,157.333,214.667,754.667,8.857
25,II,65.328,[ 327  699 1062 1427 1795 2157 2523 2899],57.000,138.000,223.429,734.857,43.429
26,II,65.483,[ 200  570  939 1303 1659 2024 2396 2766],87.500,117.714,382.286,733.143,184.750
27,II,64.878,[ 435  804 1136 1463 1879 2301 2673],64.000,188.667,376.000,746.000,73.143
28,II,130.322,[ 265  514  806  999 1174 1422 1624 1802 1967 2160 2313 2457 2601 2762],67.111,108.000,182.000,384.154,17.429
29,II,95.962,[ 138  392  646  904 1160 1417 1674 1932 2185 2441 2699 2901],85.500,149.091,342.909,502.364,103.818
30,II,80.788,[ 292  599  910 1217 1513 1809 2103 2392 2671],57.556,117.250,341.750,594.750,127.333
31,II,70.386,[ 193  531  870 1212 1558 1897 2238 2583 2921],66.667,145.750,345.000,682.000,145.000
32,II,57.934,[ 234  645 1055 1476 1900 2310 2720],98.571,144.000,362.667,828.667,129.714
33,II,79.780,[ 145  454  691 1062 1369 1676 1923 2225 2604],68.750,141.000,319.250,614.750,97.333
34,II,76.737,[ 414  717 1022 1338 1645 1950 2276 2605 2918],89.111,176.250,362.000,626.000,77.500
35,II,58.718,[ 257  878 1298 1712 2124 2528 2816],102.667,178.000,462.800,853.000,137.200
36,II,55.216,[ 519  934 1385 1814 2273 2695],78.000,147.000,354.500,870.400,98.333
37,II,52.181,[ 714 1213 1664 2113 2557],41.600,91.500,205.500,921.500,90.800
38,II,72.988,[ 371  702 1034 1367 1688 2016 2345 2673],75.250,110.857,282.286,657.714,119.000
39,II,74.946,[ 143  459  776 1094 1415 1737 2061 2382 2705],92.444,113.750,304.750,640.500,80.667
40,II,93.313,[ 143  401  658  914 1171 1428 1685 1941 2199 2457 2715],74.182,136.400,238.000,514.400,39.636
41,II,62.043,[ 379  775 1154 1551 1942 2315 2701],88.857,130.000,377.333,774.000,119.714
42,II,82.264,[ 391  680  981 1278 1560 1844 2136 2436 2726],70.000,157.750,354.000,583.750,87.111
43,II,60.062,[ 265  729 1079 1460 1923 2280 2689],57.429,198.667,285.600,808.000,-3.500
44,II,61.272,[ 268  982 1338 1699 2051 2401 2760],87.429,73.667,131.333,830.667,0.000
45,II,79.879,[ 331  627  921 1219 1530 1803 2089 2419 2742],68.667,98.000,299.000,602.750,88.667
46,II,71.359,[ 388  705 1062 1412 1748 2077 2411 2745],79.000,130.286,358.571,673.429,115.250
47,II,51.797,[ 506  976 1428 1900 2310 2835],80.000,160.800,365.600,931.600,101.200
48,II,138.824,"[ 243  408  582  829 1023 1162 1324 1474 1674 1845 1998 2157 2320 2476
 2705 2895]",73.333,84.000,134.000,353.600,-9.000
49,II,70.456,[ 336  693  924 1308 1675 1981 2409 2797],85.000,114.286,342.571,703.143,122.500
50,II,67.612,[ 268  627  980 1327 1684 2041 2398 2753],86.250,138.571,393.714,710.000,105.250
51,II,83.008,[ 270  551  840 1132 1425 1707 1992 2280 2578 2873],81.000,106.000,339.333,578.444,102.444
52,II,72.642,[ 326  663 1005 1340 1669 1996 2326 2640],77.250,126.571,283.143,661.143,105.500
53,II,58.019,[ 220  634 1050 1462 1875 2291 2702],93.429,227.667,413.333,827.333,79.429
54,II,53.215,[ 276  692 1104 1576 2049 2541],37.667,,,906.000,128.000
55,II,60.354,[ 421  822 1221 1620 2017 2411 2807],68.000,119.667,241.000,795.333,62.571
56,II,77.073,[ 430  830 1305 1548 1864 2044 2442 2801],39.000,78.000,185.429,677.429,83.500
57,II,107.407,[ 192  416  640  866 1090 1315 1541 1768 1995 2218 2441 2659 2874],71.846,110.167,281.000,447.000,86.462
58,II,65.937,[ 268  636  999 1361 1724 2085 2452 2816],98.500,160.286,194.000,728.000,4.750
59,II,56.504,[ 264  695 1112 1537 1967 2382 2813],88.857,169.000,338.000,849.667,62.000
60,II,52.020,[ 557 1026 1487 1948 2409 2864],76.667,131.200,392.800,922.800,151.000
61,II,59.273,[ 153  503  962 1386 1794 2181 2597],67.333,289.333,456.000,814.667,86.857
62,II,81.002,[ 130  429  728 1039 1340 1637 1922 2218 2506 2798],88.667,100.000,319.111,592.889,125.200
63,II,71.223,[ 435  853 1184 1527 1898 2215 2495 2822],74.500,123.143,352.571,682.000,133.429
64,II,70.385,[ 274  612  950 1291 1629 1973 2318 2661],87.000,128.571,360.857,682.000,103.250
65,II,67.586,[ 378  716 1080 1415 1775 2151 2525 2868],89.000,124.000,352.571,711.429,111.429
66,II,94.014,[ 126  382  638  895 1153 1410 1664 1919 2176 2429 2679],94.909,119.200,329.000,510.600,88.909
67,II,47.382,[ 503 1214 1499 2051 2774],101.600,159.000,392.000,1135.500,102.800
68,II,89.263,[ 215  481  744 1010 1277 1550 1822 2093 2362 2632 2904],85.091,128.000,328.400,537.800,88.200
69,II,82.139,[ 396  688  965 1282 1537 1863 2158 2454 2744],78.222,129.250,340.750,587.000,94.000
70,II,90.773,[ 369  642  907 1170 1436 1701 1967 2226 2486 2749],66.000,97.556,285.111,528.889,125.400
71,II,58.836,[ 277  704 1108 1493 1890 2331 2729],71.714,158.000,361.000,817.333,87.333
72,II,73.941,[ 293  614  939 1265 1591 1907 2233 2562 2890],97.778,142.000,259.500,649.250,60.500
73,II,67.797,[ 228  454  697 1154 1607 2050 2503 2892],95.250,165.429,243.429,761.143,11.429
74,II,66.094,[ 167  535  902 1267 1628 1988 2350 2709],82.857,140.857,392.857,726.286,119.500
75,II,63.007,[ 366  775 1163 1518 1891 2273 2655],94.000,131.333,304.667,763.000,58.571
76,II,65.110,[ 441  791 1158 1549 1921 2279 2655],76.571,167.000,366.333,738.000,87.714
77,II,65.082,[ 263  645 1023 1410 1792 2172 2558 2860],80.750,134.286,197.429,742.000,22.857
78,II,60.265,[ 126  522  929 1334 1722 2116 2516],88.000,145.200,300.000,796.667,78.857
79,II,60.982,[ 289  689 1091 1486 1875 2270 2651],62.000,107.667,342.000,787.333,120.000
80,II,81.210,[ 233  532  829 1125 1425 1721 2017 2308 2601 2893],80.200,119.778,347.778,591.111,140.444
81,II,53.703,[ 231  648 1088 1586 2054 2474],54.667,88.000,353.600,897.200,141.333
82,II,67.203,[ 139  506  872 1237 1600 1960 2301 2641],84.286,171.333,413.667,714.857,122.500
83,II,65.729,[ 351  716 1096 1468 1841 2219 2590 2913],83.250,136.286,206.286,732.000,21.714
84,II,59.264,[ 138  548  947 1354 1761 2168 2568],74.333,184.400,460.400,810.000,118.857
85,II,68.945,[ 345  705 1034 1321 1711 2075 2439 2800],80.500,192.857,228.000,701.429,-15.000
86,II,66.991,[ 382  754 1131 1506 1881 2257 2633 2913],82.500,190.857,425.429,723.143,120.000
87,II,53.535,[ 135  579 1031 1483 1932 2375 2825],111.000,138.000,368.400,896.667,89.200
88,II,54.917,[ 508  783 1382 1863 2352 2820],86.667,178.000,425.600,924.800,120.800
89,II,65.584,[ 442  804 1162 1526 1897 2267 2638],78.571,203.000,374.000,732.000,56.571
90,II,70.679,[ 223  560  900 1242 1579 1920 2259 2600],34.750,102.571,252.571,679.143,113.500
91,II,57.486,[ 520  933 1331 1737 2170 2610],59.667,135.600,391.600,836.000,155.333
92,II,53.838,[ 375  823 1264 1708 2155 2604],71.667,208.400,329.200,891.600,32.333
93,II,58.971,[ 311  734 1138 1545 1937 2341 2754],88.000,169.500,370.667,814.333,85.500
94,II,72.269,[ 245  581  914 1246 1580 1916 2261 2607 2906],69.778,131.000,360.750,665.250,118.250
95,II,78.517,[ 220  533  847 1143 1427 1753 2077 2373 2670],81.111,156.857,369.750,612.500,91.250
96,II,76.917,[ 149  450  792 1148 1455 1746 2070 2371 2657],81.556,150.500,300.750,627.000,53.600
97,II,71.681,[ 260  592  927 1257 1588 1924 2263 2604],35.250,131.429,331.143,669.714,82.250
98,II,73.587,[ 365  703 1031 1362 1683 1999 2318 2649],60.500,128.571,344.000,652.571,125.000
99,II,59.648,[ 135  554  941 1336 1769 2153 2553],84.667,153.200,404.000,806.000,133.714
100,II,72.694,[ 277  635  969 1291 1614 1934 2254 2591],69.500,124.857,325.714,661.143,87.500
101,II,87.983,[ 157  433  708  985 1259 1531 1804 2075 2346 2616 2885],81.273,121.800,302.600,545.600,76.200
102,II,88.206,[ 142  518  815 1029 1482 1760 1943 2172 2474],53.750,95.000,290.250,583.000,77.111
103,II,76.410,[ 332  640  947 1270 1594 1901 2207 2528 2846],92.000,226.500,354.750,628.500,29.000
104,II,80.850,[ 391  685  983 1283 1581 1872 2167 2466 2766],83.556,124.750,342.250,593.750,119.778
105,II,89.695,[ 333  597  863 1125 1388 1656 1924 2188 2465 2742],61.200,103.778,245.556,535.333,85.000
106,II,58.865,[ 149  553  962 1365 1762 2175 2596],63.333,102.000,208.000,815.667,13.000
107,II,134.092,"[ 211  362  587  930 1100 1270 1443 1612 1783 1953 2122 2294 2467 2637
 2808]",28.933,138.444,202.000,371.000,27.067
108,II,80.879,[ 163  827 1159 1414 1714 1995 2197 2517 2776],41.500,125.500,252.500,653.250,61.333
109,II,77.148,[ 338  651  965 1279 1591 1903 2212 2506 2828],57.778,130.500,353.500,622.500,131.111
110,II,81.152,[ 332  616  890 1186 1497 1796 2097 2419 2703],84.889,118.750,310.750,592.750,74.889
111,II,69.175,[ 248  590  939 1289 1637 1988 2339 2677],91.750,130.286,356.857,694.000,117.500
112,II,76.551,[ 173  451  789 1105 1425 1744 2056 2370 2687],70.667,145.000,369.500,628.500,120.667
113,II,64.735,[ 317  695 1069 1442 1894 2270 2569],56.286,165.000,262.400,750.667,29.200
114,II,64.210,[ 252  630 1002 1366 1743 2120 2487 2869],50.000,80.857,344.000,747.714,122.000
115,II,79.770,[ 317  616  914 1213 1514 1815 2118 2422 2724],77.556,126.250,321.750,601.750,105.111
116,II,65.208,[ 238  653 1040 1396 1728 2148 2482 2833],82.750,158.571,386.571,741.429,117.714
117,II,64.011,[ 313  685 1061 1446 1823 2195 2563],72.571,142.333,328.333,750.000,121.714
118,II,60.793,[ 272  700 1122 1539 1873 2266 2655],73.429,78.667,318.000,794.333,121.143
119,II,62.861,[ 145  533  916 1301 1689 2068 2441 2818],72.286,97.000,271.333,763.714,127.143
120,II,66.881,[ 442  657 1032 1515 1980 2367],81.333,106.400,232.400,770.000,68.333
121,II,83.992,[ 341  626  917 1211 1505 1795 2081 2370 2663 2917],72.800,128.667,291.556,572.444,65.111
122,II,49.327,[ 327  803 1295 1785 2273 2760],74.667,150.000,402.800,973.200,126.667
123,II,75.576,[ 233  583  919 1269 1621 1933 2217 2502 2792],69.111,110.571,307.000,639.750,86.250
124,II,69.797,[ 269  611  956 1299 1643 1988 2331 2676],52.750,52.857,333.429,687.714,212.250
125,II,66.961,[ 359  706 1066 1420 1783 2154 2519 2869],66.750,116.000,331.143,717.143,110.000
126,II,73.347,[ 255  576  901 1227 1553 1879 2207 2540 2873],82.889,141.750,225.750,654.500,30.667
127,II,65.578,[ 221  572  944 1331 1693 2068 2428 2785],65.750,162.571,373.429,732.571,103.250
128,II,63.634,[ 316  696 1074 1448 1824 2201 2579],68.571,133.667,356.000,754.333,109.714
129,II,87.937,[ 403  696  975 1234 1490 1752 2019 2292 2575 2864],71.600,114.444,310.667,546.889,114.444
130,II,72.155,[ 146  466  792 1126 1468 1797 2130 2467 2808],51.500,106.000,176.000,665.500,-6.667
131,II,67.341,[ 321  680 1038 1387 1741 2097 2457 2816],92.000,112.857,348.571,712.857,136.750
132,II,73.362,[ 255  571  907 1226 1555 1868 2203 2538 2874],84.667,136.000,316.250,654.750,65.556
133,II,101.520,[ 239  481  669  916 1133 1380 1624 1828 2082 2319 2564 2877],47.167,131.800,329.200,479.636,97.600
134,II,99.938,[ 239  471  705  938 1171 1412 1657 1900 2146 2392 2636 2882],99.667,81.636,260.727,480.545,65.455
135,II,51.925,[ 343  805 1279 1753 2202 2655],86.000,136.800,390.000,924.800,111.667
136,II,70.283,[ 442  796 1135 1463 1795 2138 2494 2834],79.250,117.714,364.571,683.429,122.500
137,II,73.342,[ 385  711 1049 1385 1716 2029 2347 2677],77.250,112.667,312.571,654.857,96.571
138,II,87.187,[ 314  582  853 1132 1410 1683 1957 2238 2519 2792],78.000,120.000,336.222,550.667,118.400
139,II,60.278,[ 250  644 1042 1439 1839 2240 2639],70.000,150.000,317.667,796.333,98.286
140,II,83.063,[ 179  471  766 1055 1337 1620 1905 2195 2489 2780],72.200,136.222,330.889,578.000,96.400
141,II,65.925,[ 411  776 1134 1497 1872 2242 2596],50.857,133.200,343.200,728.333,108.571
142,II,73.476,[ 316  620  989 1333 1655 1980 2289 2610],79.750,141.000,356.000,655.429,100.000
143,II,47.307,[ 517 1053 1558 2020 2552],68.400,154.000,378.500,1017.500,106.800
144,II,85.169,[ 388  577  927 1216 1494 1783 2103 2402 2701],90.444,106.500,291.750,578.250,105.111
145,II,81.073,[ 442  779 1006 1468 1747 1910 2460 2796],105.000,95.200,372.400,672.571,156.400
146,II,96.570,[ 159  412  660  909 1155 1403 1652 1903 2153 2398 2643 2893],76.833,120.857,328.000,497.091,128.857
147,II,75.006,[ 311  630  954 1270 1595 1916 2233 2550 2871],87.778,170.250,362.250,640.000,98.250
148,II,49.829,[ 539 1051 1474 1964 2475],83.200,155.000,290.000,968.000,48.400
149,II,55.832,[ 445  856 1294 1714 2148 2596],103.333,142.400,398.800,860.400,114.000
150,II,71.882,[ 159  478  810 1207 1406 1928 2316],43.600,87.200,192.400,719.000,67.333
151,II,71.267,[ 155  456  811 1150 1493 1830 2172 2514 2854],88.000,134.000,335.750,674.750,100.889
152,II,73.101,[ 374  630 1096 1366 1819 2072 2535 2826],52.000,120.571,351.429,700.571,119.500
153,II,53.476,[ 350  790 1255 1713 2153 2595],88.667,155.500,367.200,898.000,106.400
154,II,82.460,[ 275  562  846 1134 1428 1722 2013 2301 2596 2895],57.000,143.333,290.000,582.222,88.222
155,II,77.552,[ 153  462  772 1084 1396 1710 2019 2326 2629],92.667,138.750,344.000,619.000,91.778
156,II,59.763,[ 382  787 1191 1589 1996 2386 2792],76.571,158.000,401.333,803.333,144.286
157,II,59.958,[ 161  790 1218 1882 2259 2470],51.200,148.667,347.333,923.600,88.667
158,II,63.163,[ 452  826 1207 1591 1970 2354 2732],106.286,220.667,336.667,760.000,7.429
159,II,84.278,[ 343  639  934 1230 1518 1806 2090 2373 2640 2909],75.200,136.222,326.444,570.222,101.111
160,II,78.116,[ 304  614  919 1223 1528 1836 2145 2453 2762],92.000,192.750,354.000,614.500,47.333
161,II,67.722,[ 394  745 1096 1450 1807 2158 2512 2875],87.000,116.286,335.143,708.857,123.500
162,II,99.342,[ 358  602  846 1086 1328 1570 1812 2054 2293 2533 2774],82.182,138.000,337.800,483.200,103.091
163,II,71.836,[ 242  578  919 1252 1588 1918 2252 2583 2915],92.000,125.750,371.750,668.250,136.250
164,II,57.567,[ 440  857 1280 1684 2105 2525],127.333,252.400,486.800,834.000,108.667
165,II,85.686,[ 132  291  526  684 1068 1470 1902 2333 2739],76.500,116.000,332.000,651.750,102.000
166,II,82.439,[ 347  654  961 1268 1483 1858 2168 2385 2759],75.778,111.750,290.250,603.000,118.667
167,II,85.454,[ 156  421  716  960 1292 1545 1811 2165 2422 2717],58.400,81.556,202.222,569.111,78.200
168,II,57.496,[ 346  737 1164 1568 2010 2438 2854],93.143,141.667,382.667,836.000,117.333
169,II,73.796,[ 228  554  876 1197 1518 1845 2176 2503 2830],81.333,210.286,350.500,650.500,28.857
170,II,96.152,[ 153  399  645  891 1141 1387 1640 1891 2144 2394 2646 2899],76.167,143.091,314.727,499.273,70.727
171,II,85.922,[ 326  605  886 1163 1439 1717 1998 2279 2560 2840],81.600,194.222,327.333,558.667,61.600
172,II,66.377,[ 191  559  919 1282 1656 2018 2366 2723],82.250,87.714,315.714,723.429,121.250
173,II,71.044,[ 259  606  941 1278 1614 1948 2286 2624],56.571,109.200,208.800,675.714,66.250
174,II,80.422,[ 421  728 1027 1321 1623 1924 2217 2508 2809],92.667,135.250,369.250,597.000,106.444
175,II,67.255,[ 323  679 1035 1391 1747 2103 2462 2821],27.000,54.000,422.000,713.714,158.000
176,II,53.785,[ 128  581  958 1485 1936 2382 2827],85.333,148.400,390.000,899.667,106.000
177,II,57.459,[ 260  689 1109 1536 1965 2369 2768],86.571,135.333,381.667,836.000,126.571
178,II,59.191,[ 187  600 1006 1407 1812 2218 2620],80.667,141.667,401.000,811.000,152.286
179,II,72.183,[ 235  567  901 1235 1569 1900 2228 2562 2895],90.222,150.250,348.750,665.000,94.250
180,II,76.001,[ 337  654  976 1296 1614 1936 2247 2552 2864],102.444,167.667,341.500,631.750,48.667
181,II,95.930,[ 169  428  675  926 1178 1438 1684 1924 2162 2411 2673],78.545,101.800,305.600,500.800,101.818
182,II,63.136,[ 356  728 1101 1508 1857 2259 2642],68.857,173.333,346.333,762.000,56.000
183,II,74.043,[ 454  799 1015 1492 1838 2166 2491 2816],58.750,128.571,332.857,674.857,120.500
184,II,71.890,[ 212  539  871 1209 1547 1883 2214 2549 2883],51.111,140.750,199.750,667.750,6.750
185,II,77.090,[ 313  627  937 1252 1563 1866 2174 2491 2804],61.111,107.500,154.500,622.750,-0.222
186,II,64.564,[ 433  787 1158 1540 1928 2298 2665],54.571,96.000,255.667,744.000,120.286
187,II,61.814,[ 357  749 1164 1557 1955 2373 2700],88.571,150.333,410.000,781.000,152.571
188,II,128.435,[ 544  672 1042 1172 1531 1657 2022 2150 2502 2631 2855],42.182,131.000,187.000,462.200,51.000
189,II,68.758,[ 376  720 1075 1430 1777 2117 2463 2820],85.750,90.571,310.000,698.286,98.250
190,II,65.742,[ 335  702 1078 1441 1798 2161 2530 2891],84.250,88.571,320.857,730.286,96.571
191,II,98.020,[ 237  485  723  959 1208 1469 1724 1973 2213 2447 2688],87.455,142.800,309.800,490.200,39.273
193,II,78.139,[ 259  664  880 1209 1570 1894 2189 2529 2791],75.111,135.000,349.750,633.000,114.444
194,II,75.821,[ 373  693 1003 1315 1640 1962 2275 2585 2906],66.000,123.500,371.500,633.250,157.750
195,II,60.307,[ 268  690 1115 1539 1950 2327 2669],78.571,147.000,382.333,800.333,138.571
196,II,65.318,[ 431  811 1171 1528 1900 2280 2637],89.714,149.333,349.333,735.333,51.714
197,II,65.361,[ 427  774 1133 1510 1878 2253 2632],60.857,110.000,348.667,735.000,136.571
198,II,63.206,[ 452  836 1226 1624 1982 2335 2735],89.429,138.000,304.000,761.000,36.000
199,II,74.567,[ 216  535  857 1179 1497 1817 2141 2465 2791],97.111,84.500,309.000,643.750,113.778
200,II,69.302,[ 295  667 1035 1391 1740 2082 2414 2726],86.500,179.000,359.143,694.571,80.286
201,II,80.158,[ 466  814 1161 1512 1863 2217 2523 2689],57.750,132.000,338.571,635.143,92.250
202,II,100.986,[ 314  556  798 1039 1278 1516 1754 1990 2223 2455 2691],82.909,155.000,351.400,475.400,92.182
203,II,70.865,[ 550 1000 1458 1928 2382 2641 2825],68.000,182.667,402.000,758.333,117.143
204,II,54.529,[ 336  767 1220 1642 2091 2538],82.000,178.400,412.800,880.800,102.333
205,II,59.092,[ 224  630 1036 1448 1851 2258 2661],100.857,140.667,315.000,812.333,25.714
206,II,79.017,[ 318  621  924 1229 1529 1829 2135 2441 2748],44.667,99.250,260.000,607.500,110.222
207,II,71.537,[ 166  415  788 1135 1490 1861 2197 2549],65.429,148.400,305.429,680.857,82.800
208,II,69.651,[ 237  580  932 1289 1635 1972 2306 2650],89.000,83.143,259.143,689.429,72.500
209,II,59.422,[ 166  568  977 1368 1771 2185 2590],101.000,155.000,375.667,808.000,111.714
210,II,62.127,[ 377  765 1154 1542 1925 2305 2695],90.571,130.667,357.667,772.667,111.714
211,II,70.590,[ 387  724 1062 1401 1742 2082 2424 2767],74.750,206.571,433.429,680.000,102.500
212,II,71.986,[ 393  726 1056 1390 1729 2067 2397 2727],78.500,100.571,330.286,666.857,103.250
213,II,74.860,[ 419  765 1083 1416 1759 2036 2381 2676],59.500,102.286,155.429,644.857,2.250
214,II,65.673,[ 206  568  935 1291 1662 2037 2393 2765],62.250,158.571,367.714,731.143,100.500
215,II,54.683,[ 413  877 1312 1781 2185 2613],49.000,145.200,344.000,880.000,114.333
216,II,76.938,[ 429  749 1063 1376 1691 1997 2304 2613],96.500,156.571,335.429,624.000,65.000
217,II,74.837,[ 267  585  890 1213 1554 1871 2186 2519 2835],88.667,200.750,360.000,642.000,26.889
218,II,87.705,[ 224  495  764 1040 1315 1591 1866 2140 2416 2687],69.000,112.889,263.556,547.333,96.600
219,II,66.514,[ 230  589  952 1317 1682 2037 2398 2756],92.500,271.500,353.714,721.714,-31.500
221,II,61.422,[ 352  747 1154 1548 1889 2266 2709],57.714,128.000,390.333,785.667,146.000
222,II,110.235,[ 304  537  765  922 1189 1353 1643 1871 2099 2317 2541 2764],67.833,126.286,284.286,447.273,99.750
223,II,57.763,[ 360  775 1203 1615 2019 2409 2857],86.857,148.667,351.000,832.333,89.333
224,II,95.400,[ 266  519  769 1018 1271 1528 1783 2034 2282 2530 2782],69.636,155.333,288.000,503.200,16.667
225,II,63.972,[ 461  835 1210 1587 1964 2338 2712],64.286,129.333,182.000,750.333,13.714
226,II,88.179,[ 357  626  902 1181 1455 1728 1998 2263 2534 2807],99.000,167.778,372.667,544.444,104.000
227,II,64.413,[ 274  643 1005 1381 1764 2143 2518 2883],73.750,155.429,365.429,745.429,74.857
228,II,77.852,[ 154  469  768 1056 1352 1664 1995 2307 2624],72.889,154.000,314.750,617.500,67.250
229,II,73.975,[ 470  789 1092 1370 1676 1987 2411 2775],77.250,124.000,206.000,658.571,45.000
230,II,88.195,[ 157  441  729 1016 1290 1558 1831 2096 2349 2618 2882],60.364,112.600,304.200,545.000,94.909
231,II,63.072,[ 443  840 1217 1598 1978 2348 2727],68.000,179.200,422.000,761.333,132.000
232,II,64.617,[ 268  862 1195 1507 2158 2387],76.667,97.600,174.800,847.600,40.667
233,II,80.513,[ 237  536  829 1124 1426 1727 2021 2319 2622],71.333,122.750,346.000,596.250,140.667
234,II,52.954,[ 179  632 1092 1556 2011 2454 2899],71.333,140.400,402.000,906.667,129.667
235,II,104.815,[ 434  928 1061 1448 1581 1971 2474 2607],61.750,176.800,448.400,620.857,134.500
236,II,54.851,[ 210  672 1130 1540 1975 2431 2841],98.857,147.333,370.333,877.000,110.857
237,II,79.246,[ 348  650  953 1261 1563 1865 2171 2471 2771],57.778,148.750,359.500,605.750,117.111
238,II,85.564,[ 126  392  653  923 1200 1482 1769 2064 2359 2655],104.222,88.222,300.667,562.000,122.000
239,II,56.140,[ 173  625 1042 1482 1901 2336 2741],90.333,153.000,385.667,856.000,118.571
240,II,68.649,[ 417  765 1108 1464 1814 2153 2506 2865],90.750,193.429,422.000,699.429,108.857
241,II,61.885,[ 380  766 1157 1542 1927 2318 2707],54.571,90.000,170.000,775.667,53.429
242,II,81.430,[ 355  647  888 1247 1544 1837 2135 2437 2734],76.000,167.250,301.000,594.750,75.111
243,II,70.327,[ 413  751 1088 1428 1772 2118 2459 2802],80.000,122.571,297.143,682.571,99.000
244,II,69.513,[ 301  647  991 1339 1683 2023 2367 2718],82.250,102.286,356.286,690.571,128.500
245,II,70.821,[ 325  653 1002 1336 1663 2015 2365 2699],93.000,151.000,372.571,678.286,100.667
246,II,55.642,[ 355  794 1237 1679 2075 2515],73.667,175.000,392.000,864.000,165.000
247,II,70.480,[ 298  630  963 1290 1618 1979 2340 2685],69.500,110.286,360.571,682.000,177.000
248,II,57.400,[ 353  768 1194 1614 2032 2452 2862],96.857,130.000,348.000,836.333,111.333
249,II,91.692,[ 323  596  862 1117 1368 1625 1877 2130 2400 2682],80.600,142.667,331.333,524.222,87.000
250,II,56.154,[ 520  947 1372 1801 2230 2657],82.000,143.200,388.000,854.800,111.333
251,II,63.271,[ 229  625 1026 1424 1804 2141 2512],36.857,93.200,285.200,761.000,140.571
252,II,60.170,[ 215  622 1033 1426 1826 2217 2609],74.857,119.667,364.667,798.000,144.286
253,II,100.257,[ 202  419  711  970 1159 1450 1705 1958 2119 2394 2667 2913],70.727,162.727,345.273,492.909,73.636
254,II,62.274,[ 131  514  889 1284 1682 2075 2451 2830],86.571,84.000,288.667,771.143,102.286
255,II,95.663,[ 208  461  716  966 1214 1465 1718 1971 2219 2467 2717],106.364,129.143,274.286,501.800,65.750
256,II,53.116,[ 474  917 1385 1828 2279 2734],77.333,198.800,387.200,904.000,75.000
257,II,108.841,[ 137  318  547  772  996 1220 1444 1670 1895 2119 2344 2569 2792],126.000,226.000,248.000,442.500,-14.167
258,II,56.105,[ 226  653 1074 1510 1942 2372 2793],54.857,135.000,390.333,855.667,134.571
259,II,45.895,[ 274  813 1303 1849 2361 2892],91.333,138.000,428.400,1047.200,150.400
260,II,53.320,[ 162  618 1071 1520 1976 2420 2863],56.000,134.800,226.000,900.333,-4.000
261,II,67.745,[ 221  588  948 1310 1670 2025 2370 2703],84.250,84.857,306.857,709.143,110.250
262,II,59.386,[ 254  643 1046 1461 1879 2295 2681],96.571,170.000,435.667,809.000,144.571
263,II,83.307,[ 298  584  873 1160 1448 1738 2021 2311 2603 2891],51.800,108.667,310.667,576.222,107.556
