p_peaks,p_onsets,p_offsets,q_peaks,r_onsets,r_offsets,s_peaks,t_peaks,t_onsets,t_offsets,sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
0.092,"[882, 1862, 2766, 3722, 4620, 5530]","[958, 1938, 2840, 3798, 4694, 5606]",-0.271,"[990, 1972, 2812, 3768, 4730, nan]","[1256, 2236, 3138, nan, nan, nan]",-0.167,0.910,"[1206, 2184, 3090, 4046, 4944, nan]","[1310, 2290, 3194, 4150, 5048, nan]",1001,II,51.728,[ 520 1009 1462 1939 2388 2842],75.333,285.333,344.000,928.800,-50.000
0.067,"[184, 662, 1134, 1610, 2084, 2546, 3012, 3490, 3980, 4476, 4986, 5476]","[250, 726, 1208, 1682, 2148, 2614, 3080, 3560, 4050, 4548, 5054, 5542]",-0.173,"[222, 736, 1182, 1654, 2122, 2588, 3058, 3538, 4024, 4526, 5026, nan]","[364, 960, nan, 1906, 2378, 2846, nan, 3690, 4164, 4776, 5162, nan]",-0.167,0.145,"[440, 890, 1366, 1836, 2306, 2784, 3272, 3726, 4236, 4726, 5186, 5718]","[548, 1004, 1490, 1976, 2434, 2894, 3366, 3858, 4340, 4858, 5342, 5824]",1002,II,99.835,[ 151  390  628  864 1101 1333 1565 1806 2051 2300 2552 2797],68.500,201.111,312.182,481.091,-12.889
0.132,"[398, 1170, 1922, 2642, 3374, 4144, 4864, 5606]","[470, 1244, 2000, 2706, 3464, 4218, 4938, 5680]",-0.097,"[480, 1212, 1962, 2680, 3422, 4184, 4950, nan]","[558, 1348, 2088, 2806, 3542, 4306, 5040, nan]",-0.191,0.048,"[696, 1478, 2096, 2950, 3592, 4320, 5154, nan]","[732, 1556, 2140, 3038, 3622, 4364, 5242, nan]",1003,II,64.560,[ 259  647 1025 1383 1751 2133 2493 2863],75.000,114.000,257.714,744.000,85.429
0.049,"[648, 1374, 2092, 2822, 3550, 4284, 5016]","[716, 1450, 2172, 2898, 3628, 4364, 5094]",-0.122,"[780, 1512, 2234, 2958, 3694, 4428, nan]","[862, 1596, 2318, 3042, 3774, 4510, 5242]",-0.493,0.333,"[984, 1730, 2444, 3178, 3896, 4630, 5368]","[1112, 1846, 2566, 3292, 4000, 4762, 5496]",1004,II,65.756,[ 408  775 1136 1499 1865 2232 2598],76.571,82.667,328.667,730.000,126.571
0.086,"[nan, 894, 1628, 2344, 3076, 3788, 4482, 5180]","[246, 978, 1720, 2428, 3156, 3872, 4562, 5270]",-0.152,"[200, 942, 1680, 2390, 3112, 3886, 4534, nan]","[356, 1102, 1850, 2602, 3260, 3998, 4704, 5440]",-0.179,0.328,"[472, 1208, 1946, 2668, 3388, 4114, 4790, 5486]","[606, 1332, 2054, 2778, 3492, 4232, 4906, 5622]",1005,II,66.904,[ 157  523  892 1249 1611 1969 2314 2669],84.857,161.143,379.429,717.714,95.000
0.206,"[368, 1074, 1720, 2400, 3044, 3728, 4428, 5084]","[470, 1124, 1796, 2490, 3136, 3820, 4502, 5166]",-0.115,"[426, 1092, 1772, 2448, 3098, 3800, 4456, nan]","[558, 1224, 1904, 2576, 3230, 3912, 4596, 5264]",-0.459,0.230,"[660, 1338, 1986, 2734, 3368, 4066, 4734, 5360]","[778, 1454, 2102, 2792, 3432, 4128, 4804, 5434]",1006,II,71.534,[ 256  588  925 1264 1591 1932 2273 2605],82.250,129.714,342.571,671.143,122.750
0.089,"[260, 974, 1784, 2524, 3258, 4000, 4754, 5514]","[322, 1006, 1850, 2602, 3288, 4092, 4784, 5586]",-0.075,"[340, 1052, 1866, 2566, 3302, 4066, 4848, nan]","[438, 1194, 1960, 2708, 3436, 4204, 4958, 5690]",-0.201,-0.077,"[424, 1182, 1948, 2736, 3450, 4232, 4970, 5716]","[480, 1230, 1992, 2764, 3480, 4258, 5010, 5740]",1007,II,63.973,[ 199  577  961 1336 1700 2083 2461 2826],57.750,122.571,167.714,750.571,8.750
0.049,"[560, 1138, 1804, 2296, 3062, 3494, 4310, 4918]","[620, 1196, 1840, 2346, 3104, 3528, 4346, 4966]",-0.107,"[600, 1244, 1864, 2422, 3086, 3512, 4328, nan]","[710, 1348, 1988, 2532, 3212, 3714, 4480, 5108]",-0.393,0.103,"[756, 1416, 2026, 2578, 3252, 3804, 4522, 5160]","[792, 1522, 2068, 2638, 3286, 3932, 4588, 5226]",1008,II,78.632,[ 345  660  980 1253 1592 1814 2227 2541],45.500,132.571,252.857,627.429,52.750
0.008,"[186, 654, 1104, 1564, 2006, 2472, 2926, 3370, 3824, 4282, 4736, 5200, 5654]","[272, 732, 1178, 1640, 2098, 2558, 3006, 3470, 3908, 4366, 4826, 5290, 5742]",-0.296,"[226, 746, 1192, 1658, 2116, 2574, 2980, 3418, 3914, 4382, 4796, 5298, nan]","[364, 854, 1298, 1760, 2230, 2680, 3110, 3584, 4042, 4476, 4954, 5412, nan]",-0.260,0.369,"[464, 928, 1396, 1830, 2306, 2746, 3200, 3664, 4120, 4542, 5008, 5466, nan]","[544, 1016, 1474, 1926, 2374, 2838, 3288, 3740, 4192, 4644, 5106, 5568, nan]",1009,II,105.267,[ 162  392  621  850 1078 1306 1533 1758 1984 2211 2440 2669 2898],85.231,122.000,284.167,456.000,75.500
0.100,"[344, 1040, 1682, 2288, 3564, 4132, 4780, 5586]","[382, 1072, 1722, 2334, 3618, 4198, 4834, 5626]",0.023,"[480, 1150, 1850, 2350, 3704, 4156, 4890, nan]","[582, 1242, 1958, 2522, 3810, 4396, 5020, 5792]",-1.121,0.153,"[764, 1214, 1930, 2472, 3764, 4438, 5078, 5762]","[862, 1294, 2026, 2570, 3860, 4478, 5140, nan]",1010,II,68.522,[ 260  588  945 1220 1864 2171 2480 2862],46.250,135.714,235.714,743.429,12.500
