p_peaks,p_onsets,p_offsets,q_peaks,r_onsets,r_offsets,s_peaks,t_peaks,t_onsets,t_offsets,sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
0.101,"[nan, 838, 1498, 2168, 2822, 3488, 4160, 4824, 5468]","[188, 886, 1574, 2250, 2874, 3588, 4268, 4932, 5558]",-0.135,"[266, 912, 1586, 2266, 2886, 3596, 4194, 4854, nan]","[352, 1014, 1726, 2368, 3044, 3712, 4390, 5028, 5830]",-0.223,0.174,"[474, 1046, 1808, 2482, 3142, 3806, 4470, 5116, 5766]","[566, 1078, 1914, 2566, 3234, 3904, 4572, 5240, nan]",0,II,72.412,[ 153  490  824 1154 1485 1819 2154 2485 2805],83.000,134.250,314.250,663.000,71.778
0.124,"[556, 1480, 2534, 3538, 4568, 5554]","[652, 1574, 2626, 3648, 4664, 5640]",-0.152,"[610, 1540, 2588, 3604, 4622, nan]","[778, nan, 2746, 3768, 4780, nan]",-0.159,0.419,"[922, 1830, 2868, 3886, 4922, nan]","[1030, 1946, 3004, 4018, 5036, nan]",1,II,48.178,[ 357  818 1345 1852 2361 2852],95.667,162.000,414.000,998.000,131.500
0.037,"[232, 932, 1644, 2278, 2942, 3592, 4180, 4742, 5364]","[304, 996, 1708, 2346, 3004, 3656, 4242, 4808, 5432]",-0.221,"[336, 1034, 1746, 2382, 3038, 3690, 4264, 4836, nan]","[420, 1118, 1832, 2468, 3124, 3776, 4362, 4928, 5550]",-0.273,0.578,"[524, 1220, 1930, 2566, 3228, 3878, 4460, 5024, 5650]","[616, 1314, 2028, 2664, 3322, 3972, 4556, 5118, 5742]",2,II,75.278,[ 190  539  894 1213 1542 1867 2160 2442 2753],65.556,87.750,283.000,640.750,100.222
0.177,"[550, 1300, 2088, 2914, 3702, 4494, 5322]","[634, 1386, 2180, 2996, 3804, 4586, 5408]",-0.241,"[658, 1418, 2198, 3028, 3826, 4618, nan]","[740, 1514, 2308, 3134, 3910, 4728, 5530]",-0.201,0.174,"[880, 1622, 2458, 3284, 4064, 4850, 5692]","[992, 1744, 2552, 3348, 4166, 4904, 5782]",3,II,60.362,[ 352  730 1128 1536 1935 2330 2739],89.143,98.000,326.667,795.667,140.857
0.173,"[nan, 632, nan, nan, 4782]","[nan, 676, 1944, nan, nan]",,"[nan, nan, nan, nan, nan]","[nan, nan, nan, 4730, nan]",-5.897,0.237,"[nan, nan, nan, 4714, nan]","[nan, nan, nan, nan, nan]",4,II,57.845,[ 210  514  986 2344 2581],44.000,,,1185.500,-16.000
-0.036,"[300, 1040, 1908, 2778, 3520, 4396, 5242]","[402, 1148, 2028, 2830, 3618, 4520, 5366]",-0.117,"[332, 1114, 2002, 2802, 3566, 4466, nan]","[540, 1300, 2168, 2982, 3768, 4660, 5538]",-0.069,0.262,"[674, 1442, 2314, 3090, 3900, 4794, 5618]","[806, 1562, 2432, 3246, 4030, 4924, 5762]",5,II,58.262,[ 250  630 1064 1471 1864 2310 2728],104.000,189.333,453.000,826.000,125.143
0.228,"[382, 970, 1584, 2238, 2756, 3408, 4090, 4706, 5372]","[452, 1046, 1652, 2310, 2796, 3436, 4154, 4768, 5438]",-0.053,"[420, 1008, 1674, 2278, 2774, 3454, 4180, 4742, nan]","[564, 1154, 1764, 2414, 2970, 3624, 4266, 4884, 5548]",-0.190,0.110,"[552, 1326, 1750, 2400, 2992, 3604, 4444, 4870, 5574]","[658, 1398, 1822, 2448, 3040, 3652, 4512, 4960, 5612]",6,II,77.390,[ 261  556  860 1185 1460 1766 2112 2420 2752],60.667,138.750,245.000,622.750,36.000
0.022,"[nan, 990, 1910, 2782, 3678, 4568, 5426]","[nan, 1030, 1956, 2828, 3722, 4606, 5470]",-0.092,"[nan, 1112, 2032, 2908, 3802, 4688, nan]","[330, 1218, 2136, 3012, 3910, 4794, 5658]",-0.336,0.009,"[nan, 1258, 2114, 2994, 3890, 4838, 5638]","[398, 1334, 2206, 3204, 3972, 4912, 5770]",7,II,54.090,[ 137  581 1040 1479 1926 2368 2800],43.000,105.600,217.200,887.667,0.667
0.137,"[1032, 2050, 3064, 4080, 5082]","[1122, 2136, 3150, 4168, 5168]",-0.127,"[1090, 2102, 3118, 4132, nan]","[1240, 2252, 3262, 4284, 5284]",-0.109,0.406,"[1360, 2376, 3384, 4408, 5418]","[1492, 2504, 3516, 4534, 5528]",8,II,47.479,[ 597 1103 1611 2119 2619],87.200,149.000,401.000,1011.000,124.800
-0.026,"[424, 1216, 1998, 2780, 3550, 4308, 5050]","[518, 1312, 2088, 2878, 3646, 4400, 5152]",-0.229,"[494, 1344, 2120, 2834, 3684, 4352, nan]","[640, 1434, 2210, 2992, 3774, 4520, 5266]",-0.375,0.781,"[744, 1548, 2304, 3106, 3872, 4614, 5384]","[862, 1660, 2436, 3218, 3994, 4746, 5492]",9,II,62.284,[ 298  695 1082 1474 1863 2237 2611],95.429,123.667,348.000,771.000,105.143
0.197,"[454, 1084, 1750, 2440, 3160, 3846, 4492, 5156]","[532, 1174, 1826, 2542, 3250, 3930, 4578, 5246]",-0.133,"[550, 1142, 1794, 2506, 3212, 3954, 4546, nan]","[636, 1284, 1930, 2640, 3350, 4070, 4682, 5366]",-0.145,0.051,"[770, 1306, 2104, 2806, 3418, 4216, 4812, 5534]","[828, 1356, 2178, 2910, 3590, 4250, 4882, 5568]",10,II,71.372,[ 299  622  947 1303 1656 2000 2323 2656],87.000,126.857,327.143,673.429,126.000
0.073,"[642, 1328, 2058, 2804, 3540, 4312, 5006]","[722, 1376, 2194, 2848, 3610, 4384, 5052]",-0.071,"[678, 1414, 2182, 2922, 3624, 4396, nan]","[818, 1534, 2270, 3008, 3750, 4484, 5212]",-0.154,0.001,"[800, 1584, 2290, 3140, 3864, 4464, 5194]","[834, 1638, 2324, 3258, 3992, 4530, 5266]",11,II,65.547,[ 384  747 1112 1481 1851 2217 2581],70.857,108.000,226.667,732.333,37.143
0.164,"[432, 1190, 1948, 2692, 3464, 4214, 4976]","[498, 1304, 2000, 2766, 3568, 4274, 5082]",-0.000,"[512, 1230, 2060, 2814, 3542, 4294, nan]","[678, 1434, 2186, 2944, 3704, 4452, 5216]",-1.422,0.168,"[830, 1586, 2214, 2894, 3768, 4492, 5280]","[900, 1694, 2266, 2998, 3792, 4534, 5306]",12,II,63.440,[ 290  670 1044 1422 1802 2177 2560],82.286,157.667,288.667,756.667,64.286
0.144,"[258, 884, 1488, 2112, 2714, 3318, 3908, 4510, 5114]","[364, 978, 1588, 2216, 2824, 3412, 4006, 4620, 5208]",-0.187,"[328, 928, 1548, 2168, 2778, 3374, 3966, 4566, nan]","[462, 1088, 1694, 2312, 2922, 3522, 4130, 4714, 5338]",-0.196,0.413,"[536, 1158, 1752, 2388, 3000, 3586, 4188, 4786, 5396]","[652, 1258, 1870, 2494, 3108, 3696, 4292, 4902, 5502]",13,II,79.323,[ 212  519  822 1133 1438 1735 2032 2334 2633],101.111,148.500,327.000,605.250,67.556
0.134,"[766, 1538, 2342, 3126, 3920, 4676, 4814, 5436]","[814, 1620, 2378, 3208, 3950, 4734, 4868, 5462]",-0.144,"[828, 1654, 2430, 3184, 3980, nan, 4906, nan]","[984, 1768, 2554, 3340, 4116, 4900, 5204, 5746]",-0.165,0.534,"[1126, 1956, 2674, 3456, 4286, 5052, 5180, 5814]","[1236, 2010, 2798, 3576, 4362, 5156, 5250, nan]",14,II,82.305,[ 466  859 1247 1641 2033 2420 2550 2803],52.000,164.000,375.000,667.714,116.500
0.202,"[178, 838, 1480, 2124, 2804, 3426, 4050, 4704, 5314]","[278, 918, 1574, 2220, 2872, 3472, 4142, 4756, 5372]",-0.107,"[248, 894, 1546, 2182, 2832, 3490, 4114, 4726, nan]","[386, 1036, 1682, 2326, 2968, 3624, 4258, 4862, 5472]",-0.290,-0.019,"[372, 1218, 1838, 2344, 3130, 3760, 4240, 5046, 5592]","[420, 1264, 1870, 2370, 3166, 3800, 4286, 5100, 5636]",15,II,75.550,[ 171  496  820 1140 1461 1790 2104 2409 2714],76.222,138.750,280.500,635.750,102.889
0.180,"[294, 1058, 1798, 2582, 3352, 3894, 4860, 5620]","[360, 1116, 1872, 2642, 3402, 4080, 4922, 5678]",-0.257,"[408, 1160, 1850, 2614, 3454, 4208, 4948, nan]","[494, 1252, 2010, 2770, 3538, 4300, 5056, nan]",-0.291,0.409,"[632, 1456, 2142, 2904, 3688, 4440, 5184, nan]","[768, 1534, 2290, 3056, 3820, 4582, 5336, nan]",16,II,63.207,[ 226  605  983 1365 1748 2129 2506 2884],76.750,111.143,392.000,759.429,146.571
-0.054,"[714, 1426, 2132, 2890, 3672, 4408, 5140]","[774, 1488, 2198, 2954, 3734, 4466, 5176]",-0.106,"[794, nan, nan, nan, nan, nan, nan]","[872, 1584, 2290, 3050, 3830, 4566, 5300]",-0.034,0.147,"[994, 1710, 2416, 3172, 3960, 4694, 5426]","[1112, 1824, 2528, 3288, 4074, 4802, 5538]",17,II,65.139,[ 419  775 1127 1507 1897 2265 2632],58.286,78.000,318.000,737.667,125.714
0.064,"[382, 1322, 2232, 3126, 3974, 4798]","[498, 1376, 2364, 3222, 4094, 4900]",-0.158,"[468, 1440, 2276, 3176, 4036, nan]","[622, 1550, 2468, 3354, 4202, 5040]",-0.816,0.390,"[750, 1684, 2598, 3458, 4310, 5162]","[890, 1828, 2736, 3636, 4468, 5334]",18,II,54.429,[ 285  750 1209 1651 2076 2493],103.333,160.000,432.400,883.200,121.000
0.029,"[384, 1002, 1626, 2194, 2834, 3452, 4074, 4702, 5282]","[462, 1076, 1704, 2276, 2910, 3530, 4150, 4776, 5362]",-0.314,"[428, 1048, 1672, 2244, 2880, 3500, 4120, 4748, nan]","[nan, 1316, nan, 2518, 3156, 3768, 4390, nan, 5610]",-0.338,0.635,"[652, 1270, 1896, 2466, 3102, 3720, 4340, 4966, 5556]","[758, 1376, 2002, 2572, 3210, 3830, 4450, 5076, 5662]",19,II,78.383,[ 254  564  876 1162 1479 1790 2100 2413 2706],77.333,271.200,329.250,613.000,-50.667
0.072,"[532, 1038, 1556, 2060, 2568, 3074, 3570, 4058, 4552, 5038, 5530]","[622, 1134, 1646, 2152, 2652, 3164, 3658, 4156, 4646, 5128, 5622]",-0.266,"[584, 1094, 1668, 2106, 2620, 3190, 3614, 4176, 4600, 5092, nan]","[744, 1254, 1762, 2268, 2776, 3280, 3776, 4270, 4760, 5248, 5738]",-0.298,0.406,"[794, 1310, 1818, 2324, 2832, 3336, 3828, 4324, 4828, 5300, 5796]","[918, 1426, 1936, 2442, 2948, 3452, 3946, 4438, 4932, 5424, nan]",20,II,96.179,[ 348  603  857 1110 1364 1616 1864 2110 2356 2599 2844],91.273,139.400,311.800,499.200,55.818
0.023,"[424, 1084, 1730, 2372, 3000, 3578, 4206, 4864, 5546]","[478, 1148, 1808, 2446, 3056, 3652, 4276, 4976, 5610]",-0.219,"[454, 1160, 1818, 2420, 3098, 3658, 4292, 4924, nan]","[610, 1274, 1938, 2572, 3182, 3796, 4414, 5104, 5772]",-0.160,0.277,"[742, 1396, 2070, 2690, 3332, 3930, 4554, 5232, 5760]","[830, 1484, 2138, 2796, 3424, 3992, 4642, 5304, 5814]",21,II,74.810,[ 284  613  943 1262 1570 1872 2182 2519 2854],71.778,133.250,348.250,642.500,116.000
0.088,"[832, 1636, 2442, 3228, 4028, 4788, 5568]","[936, 1726, 2520, 3308, 4106, 4890, 5672]",-0.167,"[902, 1698, 2488, 3318, 4116, 4854, nan]","[1048, 1916, 2638, 3406, 4204, 5024, 5774]",-0.117,0.237,"[1186, 1982, 2728, 3568, 4368, 5120, 5764]","[1306, 2078, 2920, 3682, 4476, 5244, 5806]",22,II,60.893,[ 495  893 1291 1686 2082 2471 2860],90.857,143.333,388.333,788.333,100.857
-0.042,"[nan, 726, 1360, 1978, 2592, 3232, 3870, 4494, 5116]","[184, 792, 1420, 2046, 2670, 3302, 3938, 4572, 5194]",-0.109,"[224, nan, 1430, 2024, nan, 3270, 3910, 4520, nan]","[336, 962, 1606, 2240, 2832, 3474, 4108, 4718, nan]",-0.084,0.304,"[408, 1038, 1668, 2282, 2888, 3542, 4184, 4794, 5416]","[506, 1142, 1778, 2392, 3004, 3652, 4284, 4908, 5528]",23,II,76.668,[ 132  445  762 1070 1376 1697 2018 2328 2637],70.750,184.000,357.000,626.250,66.000
0.145,"[744, 1546, 2268, 3022, 3790, 4528, 5270]","[832, 1606, 2364, 3102, 3846, 4614, 5366]",-0.063,"[806, 1566, 2328, 3072, 3862, 4644, nan]","[978, 1742, 2498, 3242, 3998, 4764, 5510]",-0.347,0.012,"[964, 1794, 2518, 3264, 3980, 4746, 5528]","[1010, 1828, 2544, 3318, 4066, 4800, 5560]",24,II,63.609,[ 467  848 1225 1597 1975 2357 2731],80.286,157.333,214.667,754.667,8.857
0.056,"[536, 1248, 1972, 2710, 3424, 4192, 4884, 5662]","[568, 1290, 2052, 2742, 3510, 4242, 4990, 5690]",-0.103,"[552, 1304, 2024, 2758, 3480, 4226, 4972, nan]","[696, 1438, 2164, 2898, 3634, 4360, 5092, nan]",-0.325,-0.036,"[886, 1426, 2346, 2884, 3622, 4346, 5076, nan]","[940, 1468, 2374, 2920, 3652, 4382, 5144, nan]",25,II,65.328,[ 327  699 1062 1427 1795 2157 2523 2899],57.000,138.000,223.429,734.857,43.429
0.192,"[234, 976, 1706, 2462, 3158, 3882, 4624, 5360]","[326, 1060, 1812, 2552, 3254, 3966, 4680, 5452]",-0.134,"[346, 1098, 1768, 2506, 3210, 3988, 4732, nan]","[440, 1182, 1924, 2646, 3358, 4092, 4830, 5574]",-0.296,0.248,"[654, 1356, 2120, 2812, 3542, 4258, 5030, 5752]","[716, 1492, 2154, 2868, 3632, 4380, 5082, 5850]",26,II,65.483,[ 200  570  939 1303 1659 2024 2396 2766],87.500,117.714,382.286,733.143,184.750
-0.009,"[698, 1466, 2066, 2798, 3538, 4472, 5176]","[774, 1512, 2108, 2852, 3638, 4520, 5258]",-0.070,"[744, 1496, 2158, 2826, 3652, 4494, nan]","[972, 1672, 2352, 3004, 3810, 4692, 5430]",-0.194,0.156,"[1016, 1758, 2442, 3046, 3908, 4770, 5504]","[1136, 1874, 2530, 3188, 4022, 4876, 5614]",27,II,64.878,[ 435  804 1136 1463 1879 2301 2673],64.000,188.667,376.000,746.000,73.143
-0.128,"[380, 930, 1518, nan, 2146, 2750, 3106, nan, 3770, nan, 4464, 4808, nan, nan]","[446, 974, 1544, nan, 2236, 2784, 3174, nan, 3850, nan, 4590, 4878, 5150, nan]",-0.264,"[nan, nan, nan, nan, 2250, nan, 3186, nan, 3870, nan, 4570, 4854, nan, nan]","[570, 1072, nan, nan, nan, 2890, nan, 3648, 3978, 4368, nan, nan, nan, 5574]",-0.381,-0.026,"[638, 1062, nan, nan, nan, 2878, nan, 3662, 3994, 4390, nan, nan, nan, 5598]","[670, 1124, nan, nan, nan, 2924, nan, 3704, 4052, 4456, nan, nan, nan, 5686]",28,II,130.322,[ 265  514  806  999 1174 1422 1624 1802 1967 2160 2313 2457 2601 2762],67.111,108.000,182.000,384.154,17.429
0.180,"[118, 626, 1144, 1660, 2166, 2688, 3200, 3708, 4236, 4730, 5252, 5536]","[196, 710, 1222, 1740, 2258, 2770, 3286, 3796, 4318, 4828, 5320, 5646]",-0.192,"[164, 726, 1190, 1750, 2214, 2788, 3246, 3760, 4266, 4774, 5334, nan]","[340, 828, 1348, 1886, 2394, 2882, 3416, 3936, 4414, 4944, 5464, nan]",-0.253,0.176,"[444, 928, 1458, 1970, 2486, 3006, 3510, 4022, 4540, 5038, 5592, nan]","[538, 1036, 1550, 2070, 2568, 3084, 3596, 4150, 4622, 5124, 5646, nan]",29,II,95.962,[ 138  392  646  904 1160 1417 1674 1932 2185 2441 2699 2901],85.500,149.091,342.909,502.364,103.818
0.042,"[428, 1056, 1696, 2294, 2878, 3474, 4062, 4640, 5194]","[494, 1108, 1744, 2348, 2940, 3524, 4118, 4696, 5268]",-0.124,"[514, 1130, 1724, 2370, 2920, 3554, 4138, 4712, nan]","[626, 1238, 1860, 2474, 3068, 3660, 4248, 4826, 5384]",-0.671,0.398,"[752, 1372, 1992, 2596, 3190, 3786, 4388, 4948, 5506]","[842, 1462, 2082, 2696, 3278, 3922, 4460, 5054, 5606]",30,II,80.788,[ 292  599  910 1217 1513 1809 2103 2392 2671],57.556,117.250,341.750,594.750,127.333
0.140,"[256, 930, 1584, 2300, 2960, 3664, 4324, 5004, 5696]","[302, 1000, 1678, 2362, 3040, 3708, 4360, 5106, 5762]",-0.100,"[348, 956, 1634, 2372, 3014, 3686, 4378, 5122, nan]","[480, 1116, 1790, 2516, 3162, 3880, 4522, 5210, nan]",-0.373,0.212,"[598, 1280, 1962, 2636, 3300, 3992, 4690, 5378, nan]","[646, 1344, 2018, 2678, 3356, 4050, 4764, 5414, nan]",31,II,70.386,[ 193  531  870 1212 1558 1897 2238 2583 2921],66.667,145.750,345.000,682.000,145.000
0.094,"[306, 1136, 1956, 2808, 3636, 4464, 5290]","[408, 1232, 2058, 2896, 3744, 4562, 5386]",-0.091,"[374, 1198, 2018, 2854, 3704, 4528, nan]","[514, 1336, 2156, 3016, 3848, 4670, 5548]",-0.130,0.057,"[668, 1470, 2304, 3112, 4014, 4826, 5602]","[714, 1522, 2370, 3214, 4138, 4894, 5676]",32,II,57.934,[ 234  645 1055 1476 1900 2310 2720],98.571,144.000,362.667,828.667,129.714
0.130,"[nan, 728, 1196, 1946, 2560, 3172, 3706, 4314, 5028]","[196, 816, 1264, 2030, 2646, 3250, 3744, 4338, 5112]",-0.112,"[160, 846, 1282, 1996, 2672, 3222, 3764, 4358, nan]","[328, 946, 1428, 2162, 2778, 3390, 3906, 4490, 5246]",-0.194,0.215,"[486, 1054, 1490, 2264, 2862, 3522, 3956, 4562, 5354]","[556, 1162, 1534, 2386, 2998, 3616, 3998, 4604, 5482]",33,II,79.780,[ 145  454  691 1062 1369 1676 1923 2225 2604],68.750,141.000,319.250,614.750,97.333
0.045,"[668, 1262, 1884, 2516, 3128, 3756, 4392, 5042, 5678]","[756, 1362, 1976, 2612, 3214, 3836, 4478, 5146, 5748]",-0.186,"[770, 1332, 1938, 2572, 3186, 3794, 4506, 5098, nan]","[910, 1644, 2084, 2740, 3370, 3972, 4612, 5274, nan]",-0.181,0.389,"[1008, 1596, 2202, 2848, 3434, 4060, 4700, 5378, nan]","[1096, 1698, 2306, 2954, 3556, 4174, 4820, 5488, nan]",34,II,76.737,[ 414  717 1022 1338 1645 1950 2276 2605 2918],89.111,176.250,362.000,626.000,77.500
0.213,"[nan, 1602, 2440, 3268, 4090, 4902, 5256]","[nan, 1698, 2530, 3358, 4180, 4986, 5422]",-0.030,"[nan, 1664, 2500, 3328, 4152, 4958, nan]","[nan, 1836, 2678, 3506, 4332, 5140, nan]",-1.907,0.295,"[nan, 2008, 2774, 3648, 4462, 5286, nan]","[nan, 2120, 2958, 3794, 4622, 5422, nan]",35,II,58.718,[ 257  878 1298 1712 2124 2528 2816],102.667,178.000,462.800,853.000,137.200
-0.022,"[854, 1718, 2594, 3450, 4368, 5214]","[898, 1782, 2684, 3538, 4462, 5302]",-0.213,"[nan, 1746, 2724, 3502, 4482, nan]","[1086, 1916, 2826, 3680, 4620, 5454]",-0.197,0.714,"[1186, 2032, 2926, 3780, 4702, 5546]","[1296, 2126, 3034, 3898, 4814, 5654]",36,II,55.216,[ 519  934 1385 1814 2273 2695],78.000,147.000,354.500,870.400,98.333
0.024,"[1244, 2214, 3114, 4024, 4906]","[1296, 2266, 3152, 4056, 4940]",-0.021,"[1378, 2374, 3300, 4186, nan]","[1474, 2474, 3384, 4272, 5166]",-0.241,0.070,"[1548, 2494, 3454, 4342, 5386]","[1592, 2594, 3494, 4380, 5450]",37,II,52.181,[ 714 1213 1664 2113 2557],41.600,91.500,205.500,921.500,90.800
0.288,"[610, 1270, 1934, 2606, 3240, 3892, 4570, 5218]","[682, 1342, 2008, 2678, 3328, 3976, 4638, 5290]",-0.235,"[698, 1352, 1980, 2696, 3292, 3992, 4652, nan]","[822, 1482, 2120, 2776, 3412, 4096, 4730, 5412]",-0.253,0.083,"[882, 1564, 2268, 2942, 3560, 4146, 4876, 5564]","[936, 1612, 2330, 2978, 3602, 4270, 4910, 5594]",38,II,72.988,[ 371  702 1034 1367 1688 2016 2345 2673],75.250,110.857,282.286,657.714,119.000
0.076,"[152, 774, 1414, 2048, 2692, 3336, 3982, 4618, 5268]","[228, 880, 1502, 2128, 2776, 3418, 4090, 4716, 5378]",-0.079,"[196, 832, 1464, 2140, 2786, 3432, 4036, 4682, nan]","[328, 960, 1594, 2232, 2872, 3518, 4166, 4808, 5454]",-0.223,0.128,"[422, 1042, 1670, 2250, 2972, 3628, 4182, 4924, 5568]","[556, 1206, 1824, 2290, 3102, 3742, 4230, 5056, 5694]",39,II,74.946,[ 143  459  776 1094 1415 1737 2061 2382 2705],92.444,113.750,304.750,640.500,80.667
0.037,"[138, 698, 1144, 1644, 2144, 2688, 3232, 3718, 4220, 4744, 5262]","[220, 746, 1182, 1766, 2238, 2788, 3268, 3774, 4298, 4814, 5354]",-0.074,"[242, 728, 1248, 1708, 2214, 2800, 3244, 3782, 4306, 4782, nan]","[326, 858, 1356, 1872, 2382, 2896, 3410, 3922, 4438, 4958, 5474]",-0.132,0.002,"[352, 878, 1340, 1902, 2486, 2910, 3396, 3964, 4560, 5080, 5460]","[404, 904, 1398, 1928, 2590, 2948, 3478, 3994, 4636, 5154, 5520]",40,II,93.313,[ 143  401  658  914 1171 1428 1685 1941 2199 2457 2715],74.182,136.400,238.000,514.400,39.636
0.119,"[590, 1384, 2144, 2936, 3716, 4464, 5238]","[678, 1470, 2232, 3024, 3812, 4554, 5324]",-0.104,"[700, 1430, 2262, 2984, 3764, 4582, nan]","[802, 1594, 2354, 3146, 3930, 4676, 5448]",-0.581,0.180,"[914, 1714, 2474, 3272, 4044, 4808, 5562]","[1052, 1836, 2600, 3400, 4176, 4922, 5698]",41,II,62.043,[ 379  775 1154 1551 1942 2315 2701],88.857,130.000,377.333,774.000,119.714
0.000,"[616, 1188, 1794, 2390, 2954, 3520, 4110, 4708, 5280]","[682, 1264, 1862, 2458, 3024, 3594, 4172, 4778, 5356]",-0.238,"[694, 1236, 1838, 2482, 2994, 3566, 4148, 4742, nan]","[826, 1402, 2006, 2600, 3164, 3732, 4316, 4916, 5496]",-0.475,0.583,"[914, 1492, 2094, 2690, 3258, 3820, 4404, 4996, 5574]","[1016, 1598, 2202, 2798, 3360, 3930, 4512, 5116, 5694]",42,II,82.264,[ 391  680  981 1278 1560 1844 2136 2436 2726],70.000,157.750,354.000,583.750,87.111
0.094,"[358, 1296, 1972, 2730, 3682, 4416, 5184]","[398, 1384, 2038, 2760, 3770, 4476, 5214]",0.007,"[nan, 1354, 2022, 2796, 3734, 4446, nan]","[nan, 1534, 2250, nan, 3922, nan, 5474]",-0.175,0.065,"[606, 1588, 2232, 2998, 3894, 4636, 5452]","[676, 1734, 2304, 3064, 3976, 4702, 5522]",43,II,60.062,[ 265  729 1079 1460 1923 2280 2689],57.429,198.667,285.600,808.000,-3.500
0.151,"[326, 1774, 2470, 3198, 3898, 4600, 5314]","[416, 1858, 2558, 3282, 3984, 4684, 5410]",-0.238,"[498, 1928, 2640, 3362, 4066, 4768, nan]","[572, 2002, 2714, 3434, 4140, 4842, 5560]",-0.268,-0.009,"[594, 2018, 2700, 3418, 4164, 4826, 5544]","[648, 2046, 2764, 3518, 4192, 4882, 5588]",44,II,61.272,[ 268  982 1338 1699 2051 2401 2760],87.429,73.667,131.333,830.667,0.000
0.011,"[530, 1120, 1714, 2306, 2934, 3480, 4052, 4706, 5332]","[598, 1190, 1782, 2374, 2996, 3548, 4114, 4772, 5418]",-0.225,"[616, 1210, 1800, 2394, 3014, 3564, 4134, 4796, nan]","[696, 1294, 1880, 2494, 3158, 3646, 4268, 4876, 5530]",-0.158,0.187,"[788, 1386, 1970, 2556, 3206, 3772, 4376, 4972, 5614]","[922, 1512, 2098, 2688, 3316, 3860, 4430, 5094, 5744]",45,II,79.879,[ 331  627  921 1219 1530 1803 2089 2419 2742],68.667,98.000,299.000,602.750,88.667
0.118,"[616, 1188, 1962, 2646, 3338, 3986, 4656, 5314]","[696, 1264, 1994, 2740, 3414, 4074, 4744, 5412]",-0.174,"[732, 1342, 2010, 2758, 3382, 4048, 4714, nan]","[816, 1450, 2164, 2866, 3540, 4196, 4866, 5532]",-0.302,0.303,"[930, 1600, 2276, 2976, 3654, 4310, 4966, 5640]","[1046, 1710, 2384, 3096, 3754, 4414, 5092, 5754]",46,II,71.359,[ 388  705 1062 1412 1748 2077 2411 2745],79.000,130.286,358.571,673.429,115.250
0.165,"[866, 1806, 2712, 3650, 4388, 5518]","[946, 1892, 2798, 3740, 4432, 5612]",-0.094,"[914, 1858, 2758, 3704, 4538, nan]","[1096, 1988, 2898, 3876, 4718, nan]",-0.109,0.357,"[1194, 2146, 3048, 3994, 4700, nan]","[1318, 2268, 3162, 4106, 4746, nan]",47,II,51.797,[ 506  976 1428 1900 2310 2835],80.000,160.800,365.600,931.600,101.200
0.043,"[366, 734, nan, nan, nan, 2132, nan, 2758, 3238, nan, nan, nan, 4532, nan, nan, nan]","[438, 780, nan, nan, nan, 2262, nan, 2858, 3278, nan, nan, nan, 4584, nan, nan, nan]",-0.078,"[446, 752, nan, nan, nan, 2218, nan, 2910, 3264, nan, nan, nan, 4604, nan, nan, nan]","[526, 854, nan, nan, nan, nan, nan, 2980, nan, nan, 4030, 4356, nan, nan, nan, 5832]",-0.267,-0.067,"[512, 840, nan, nan, nan, nan, nan, 2992, nan, nan, 4020, 4342, nan, nan, nan, 5818]","[576, 908, nan, nan, nan, nan, nan, 3026, nan, nan, 4084, 4394, nan, nan, nan, 5856]",48,II,138.824,"[ 243  408  582  829 1023 1162 1324 1474 1674 1845 1998 2157 2320 2476
 2705 2895]",73.333,84.000,134.000,353.600,-9.000
0.131,"[500, 1228, 1548, 2460, 3188, 3792, 4666, 5438]","[594, 1316, 1664, 2544, 3276, 3832, 4748, 5526]",-0.170,"[556, 1344, 1676, 2572, 3306, 3922, 4778, nan]","[716, 1430, 1884, 2670, 3394, 3998, 4862, 5638]",-0.188,0.458,"[846, 1564, 2002, 2776, 3518, 4128, 4982, 5756]","[940, 1664, 2110, 2888, 3622, 4234, 5094, nan]",49,II,70.456,[ 336  693  924 1308 1675 1981 2409 2797],85.000,114.286,342.571,703.143,122.500
0.304,"[384, 1104, 1812, 2506, 3218, 3930, 4646, 5356]","[470, 1188, 1896, 2592, 3304, 4018, 4734, 5444]",-0.152,"[442, 1160, 1866, 2562, 3274, 3988, 4704, nan]","[580, 1298, 2006, 2700, 3412, 4128, 4842, 5552]",-0.584,0.271,"[692, 1410, 2110, 2808, 3534, 4218, 4940, 5648]","[836, 1556, 2258, 2954, 3666, 4384, 5098, 5808]",50,II,67.612,[ 268  627  980 1327 1684 2041 2398 2753],86.250,138.571,393.714,710.000,105.250
0.124,"[382, 936, 1512, 2102, 2708, 3254, 3846, 4400, 4998, 5612]","[466, 1032, 1608, 2190, 2778, 3342, 3908, 4486, 5082, 5668]",-0.185,"[492, 1056, 1578, 2162, 2802, 3366, 3938, 4510, 5112, nan]","[588, 1140, 1716, 2302, 2896, 3460, 4056, 4610, 5202, nan]",-0.179,0.194,"[682, 1210, 1814, 2384, 3000, 3584, 4146, 4700, 5372, nan]","[830, 1376, 1956, 2544, 3134, 3700, 4256, 4836, 5438, nan]",51,II,83.008,[ 270  551  840 1132 1425 1707 1992 2280 2578 2873],81.000,106.000,339.333,578.444,102.444
